Category,pslist.nproc,pslist.avg_threads,dlllist.ndlls,handles.nhandles,handles.nport,ldrmodules.not_in_load_avg,malfind.ninjections,Class
Benign,45,10.55555556,1694,9129,0,0.030372493,5,Benign
Benign,47,11.53191489,2074,11385,0,0.036167215,12,Benign
Benign,40,14.725,1932,11529,0,0.026113671,5,Benign
Benign,32,13.5,1445,8457,0,0.021483021,2,Benign
Benign,42,11.45238095,2067,11816,0,0.047819972,12,Benign
Benign,40,13.8,2082,12278,0,0.036573628,5,Benign
Benign,43,13.81395349,2169,13116,0,0.032833021,5,Benign
Benign,42,11.45238095,2067,11819,0,0.047819972,12,Benign
Benign,42,11.45238095,2067,11813,0,0.047819972,12,Benign
Benign,40,13.875,2082,12320,0,0.036573628,5,Benign
Benign,43,13.37209302,2170,13008,0,0.032817628,5,Benign
Benign,42,11.19047619,2067,11791,0,0.047819972,12,Benign
Benign,40,13.825,2082,12289,0,0.036573628,5,Benign
Benign,43,13.27906977,2170,12960,0,0.032817628,5,Benign
Benign,42,11.26190476,2067,11792,0,0.047819972,12,Benign
Benign,40,13.6,2082,12257,0,0.036573628,5,Benign
Benign,41,13.51219512,2105,12516,0,0.03384913,4,Benign
Benign,42,10.45238095,1788,10276,0,0.04321663,6,Benign
Benign,40,13.55,2082,12245,0,0.036573628,5,Benign
Benign,41,13.41463415,2105,12496,0,0.03384913,4,Benign
Benign,41,11.6097561,1924,10997,0,0.044050633,9,Benign
Benign,32,12.53125,1513,9077,0,0.041695147,3,Benign
Benign,40,13.325,2082,12210,0,0.036573628,5,Benign
Benign,42,13.66666667,2177,12872,0,0.036761284,5,Benign
Benign,40,13.175,1990,11730,0,0.033539732,4,Benign
Benign,43,11.53488372,2024,11609,0,0.045148895,11,Benign
Benign,40,13.35,2082,12216,0,0.036573628,5,Benign
Benign,43,13.48837209,2223,13056,0,0.036429872,5,Benign
Benign,44,12.02272727,2162,12622,0,0.045352492,14,Benign
Benign,40,13.325,2082,12212,0,0.036573628,5,Benign
Benign,43,13.46511628,2223,13041,0,0.036429872,5,Benign
Benign,50,11.4,2447,13717,0,0.043253968,16,Benign
Benign,40,13.275,2082,12198,0,0.036573628,5,Benign
Benign,43,13.48837209,2223,13034,0,0.036429872,5,Benign
Benign,47,11.46808511,2079,11370,0,0.036150235,12,Benign
Benign,38,14.68421053,1875,11035,0,0.026898734,4,Benign
Benign,32,13.09375,1452,8460,0,0.022068966,2,Benign
Benign,50,11.2,2448,13704,0,0.043236811,16,Benign
Benign,40,13.225,2082,12199,0,0.036573628,5,Benign
Benign,43,13.48837209,2223,12997,0,0.036429872,5,Benign
Benign,50,11.08,2448,13671,0,0.043236811,16,Benign
Benign,40,13.325,2082,12219,0,0.036573628,5,Benign
Benign,43,13.44186047,2223,12944,0,0.036429872,5,Benign
Benign,50,11.04,2448,13616,0,0.043236811,16,Benign
Benign,40,13.375,2082,12211,0,0.036573628,5,Benign
Benign,43,13.27906977,2223,12913,0,0.036429872,5,Benign
Benign,52,10.46153846,2466,13166,0,0.042219542,13,Benign
Benign,40,13.35,2081,12190,0,0.036591237,5,Benign
Benign,43,13.11627907,2223,12886,0,0.036429872,5,Benign
Benign,50,10.48,2403,12745,0,0.042362525,12,Benign
